,Street,Postal Code,City,Conact Person,Phone,Website,Email
beyond-capital-partners-gmbh,Große Bockenheimer Straße 43,60313,Frankfurt am Main,"
Christoph D. KauterKarsten B. Eibes                                        ","
+49 69 97583154                                        ",http://www.beyondcapital-partners.com,c.kauter@beyondcapital-partners.com
brockhaus-technologies-ag,Thurn-und-Taxis-Platz 6,60313,Frankfurt am Main,"
Dr. Marcel WilhelmPaul Göhring                                        ","
+49 69 204 3409 0                                        ",https://www.brockhaus-technologies.com/,info@brockhaus-technologies.com
halder-gmbh,Guiollettstrasse 48,60325,Frankfurt am Main,"
Mathias FackelmeyerChristian Muschalik                                        ","
+49 69 242533-0                                        ",http://www.halder.eu,mail@halder.eu
pinova-capital-gmbh,Viktualienmarkt 8,80331,München,"
Herbert Seggewiß                                        ","
+49 89 1894254-40                                        ",http://www.pinovacapital.com,info@pinovacapital.com
abacus-alpha-gmbh,Eisenbahnstraße 4-6,67227,Frankenthal (Pfalz),"
Frank Hüther                                        ","
06233 / 5 11 91-0                                        ",http://www.ab-alpha.de,frank.huether@ab-alpha.de
main-capital-partners,Rathausufer 17,40213,Düsseldorf,"
Sven van Berge                                        ","
+49 (0) 211 7314 9339                                         ",https://mainsoftware.de,sven@mainsoftware.de
credit-mutuel-equity,Wilhelm-Leuschner-Straße 9-11,60329,Frankfurt,"
Sébastien NeissIsabelle Stempel                                        ","
+49 69 274 021 49                                        ",http://www.creditmutuel-equity.eu/de,SEBASTIEN.NEISS@CREDITMUTUEL.EU
arcus-capital-ag,Theatinerstraße 7,80333,München,"
Stefan EisholdMaximilian VogelDaniel BachmeierAlexander Schopper                                        ","
+49 89 2388 7444                                         ",http://www.arcuscapital.de,eishold@arcuscapital.de
ww-brandpool-gmbh,,,,,,,
dpe-deutsche-private-equity-,Ludwigstraße 7,80539,München,"
Mathias WeidnerHead of Business Development                                        ","
+49 89 2000 38 290                                        ",http://www.dpe.de,mathias.weidner@dpe.de
premium-equity-partners-gmbh,Lindenstraße 15,60325,Frankfurt,"
Marcel van WijkDr. Thomas DuhnkrackFabian WaleschPieter van HalemKonstantin Skora                                        ","
+4969677016770                                        ",http://premium-equity.de,info@premium-equity.de
sophora-unternehmerkapital,Maximilianstraße 2,80539,München,"
Benjamin HubnerJennifer Regehr                                        ",,https://www.sophora.de,info@sophora.de
aheim-capital-gmbh,Theatinerstrasse 7,80333,München,"
Frank Henkelmann                                        ","
+49 89 45 24 679 0                                        ",http://www.aheim.com,f.henkelmann@aheim.com
seafort-advisors-gmbh,Alsterarkaden 20,20354,Hamburg,"
Dr. Johann David Herstatt                                        ","
+49 40 3499996                                        ",http://www.seafort.de,herstatt@seafort.de
bright-capital-gmbh,Große Bockenheimer Straße 43,60313,Frankfurt a.M.,"
Matthias M. Mathieu                                        ","
+49 69 348775980                                        ",http://www.brightcapital.de,info@brightcapital.de
cipio-partners-gmbh,Palais am Lenbachplatz - Ottostr. 8,80333,München,"
Sophie von Eberhardt                                        ","
+49 89 550696-0                                        ",http://www.cipiopartners.com,seberhardt@cipiopartners.com
eqt-partners-gmbh,Leopoldstr. 8,80802,München,"
Marcus BrenneckeAndreas HuberFredrik Åtting                                        ","
+49 89 255499-0                                        ",http://www.eqt.de,www.eqt.de
hannover-finanz-gmbh,Günther-Wagner-Allee 13,30177,Hannover,"
Jantje SalanderLeiterin Unternehmenskommunikation                                        ","
+49 511 28007-0                                        ",http://www.hannoverfinanz.de,mail@hannoverfinanz.de
nord-holding-unternehmensbeteiligungsgesellschaft-mbh,Walderseestr. 23,30177,Hannover,,"
+49 511 270415-0                                        ",http://www.nordholding.de,info@nordholding.de
perusa-gmbh,Theatinerstr. 40,80333,München,"
Dr. Christian Hollenberg                                        ","
+49 89 2388789-0                                        ",http://www.perusa.de,info@perusa.de
shs-gesellschaft-fur-beteiligungsmanagement-mbh,Bismarckstr. 12,72072,Tübingen,"
Hubertus Leonhardt                                        ","
+49 7071 9169-0                                        ",http://www.shs-capital.eu,tuebingen@shs-capital.eu
borromin-capital-management-gmbh,Myliusstr. 47,60323,Frankfurt a.M.,"
Herr Nicholas Money-KyrleHerr Marco Bernecker                                        ","
+49 69 50685-0                                        ",http://www.borromin.com,info@borromin.com
deutsche-telekom-capital-partners-management-gmbh,Am Sandtorpark 2,20457,Hamburg,"
Oliver Schmäschke                                        ","
+49 1607171001                                        ",http://www.telekom-capital.com,info@telekom-capital.com
eos-partners-gmbh,Ludwigstraße 8,80539,München,"
Peter WinklerPhilipp WegenerThomas Röhrl                                        ","
PeW: 0151-55148971, PhW: 0170-7926200, TR: 0176-84677513                                        ",,info@eoscp.com
mindful-capital-partners,Friedrich-Ebert-Anlage 36,60325,Frankfurt,"
Inna Gehrt                                        ","
069-244333247                                        ",https://mcpinvest.com/,i.gehrt@mcpinvest.com
gfep-gmbh-family-equity,Maximiliansplatz 15,80333,München,"
Alexander Tewaag, MünchenDr. Matthias Graeper, HamburgMatthias Wimmer, Frankfurt                                        ","
+49 / 89 / 905 482 33                                        ",http://www.familyequity.de,info@familyequity.de
aqvc-management-gmbh,Monumentenstraße 20,10965,Berlin,"
Marius WeberStephan Heller                                        ","
+49 1520 3617838                                        ",http://www.aq-vc.com,mw@aq-vc.com
active-capital-company-gmbh,Maffeistraße 3,80333,München,"
Hartwig Ostermeyer                                        ","
+491738574258                                        ",http://www.activecapitalcompany.com,ostermeyer@activecapitalcompany.com
